id,channel name,type of channel,likes and follows,page creation date,description
350964928247889,"Talking Angela
",Video Game,"4,205,217 people like this 4,161,039 people follow this",Confirmed Page Owner: OUT FIT 7 LIMITED,"💖 Hey, #LittleKitties! 💖 Thanks for coming to my official page! This is where I post lots of fun things, from my music videos and lifestyle tips and tricks to our animated series. I’m so glad you’re here! Let’s have some fun! ✨ Female"
185891658108917,"Poo~Pourri
","Product/Service,Beauty, Cosmetic & Personal Care","256,452 people like this 257,395 people follow this","Confirmed Page Owner: SCENTSIBLE, LLC","Spritz the Bowl Before You Go and No One Else Will Ever Know! SHOP at  Suzy Batiz Poo~Pourri Before-You-Go Toilet Spray is comprised of essential oils and other natural compounds that are scientifically formulated to TRAP embarrassing bathroo m odors before they ever begin. Poo~Pourri  is the classy, sassy, ultra effective way to leave the bathroom smelling better than you found it.    Spritz the Bowl Before You Go and No One Else Will Ever Know!"
1654124961278154,"Swytch Technology
","Science, Technology & Engineering","19,077 people like this 21,366 people follow this","Page created - August 31, 2017","The Swytch eBike Conversion Kit allows you to convert any bicycle into an electric bike with a grab-and-go power pack. Winners of the 2019 London Mayor's CleanTech Awards. March 2016 Swytch eBike Conversion Kit Enjoy the advantages of electric assistance, with easy installation, while keeping your bike light.    The Swytch System is a patent-pending conversion kit that a llows you to instantly convert any regular bike to an electric bike in seconds with an easy to carry power bag that clicks on and off instantly."
288557724894583,"Living with Heart Failure
",Community,Send Message 551 people like this,"Page created - January 28, 2017","To help people with CHF and their families. Resources, information, tips, folk remedies, and more.  A page started by my father and me to raise awareness about Congestive Heart Failure. A resource of information and forum about the disease; our experiences, t he experiences of those both who are surviving and who have unfortunately passed, as well as a forum to share the ways people have managed to live with this statistically fatal disease and their stories.    It is important to note that this website is not intended to give medical advice.    Medical advice comes from your cardiologist and primary physicians. This Website is intended to share stories about our journey with CHF."
470291216353679,"Modern Millionaire
",Internet Company,"Send Message 1,549 people like this","Page created - February 12, 2013","Our mission at The Modern Millionaires is to help EMPOWER you as an entrepreneur by giving you the training and the tools that will assist you in building your business and growing it to the next level. We are a team of entrepreneurs that love marketing and love life. We are a multinational company with partners in the US, Australia, South America, Europe as we ll as team members across the globe.    Our mission at The Modern Millionaires is to help EMPOWER you as an entrepreneur by giving you the training and the tools that will assist you in building your business and growing it to the next level.    Our vision for you is by utilizing our trainings and tools with focus, discipline and consistency you will become a MASTER at creating “income on demand” in your business so you can live the life you dream of."
195974498373,"Jimmy Kimmel Live
",TV Show,"4,049,761 people like this 4,185,625 people follow this","Page created - December 9, 2009",Food ABC ABC Watch Jimmy Kimmel Live weeknights at 11:35|10:35c on ABC. Follow Jimmy on his personal Facebook page! @jimmykimmel
1480196665612426,"Viddyoze
",Software,"32,869 people like this 39,654 people follow this","Page created - July 27, 2015",The webs fastest 3D animation platform. Create incredible animation elements right inside of your browser!    Helpdesk -- 
32813934336,"Rug Doctor LLC
",Household Supplies,"194,331 people like this 191,801 people follow this","Page created - July 29, 2008","Making a cleaner, healthier home available to all! Official Rug Doctor Carpet Cleaner Facebook Page. Clean Deeper. Feel Better. Mighty Pro Carpet Cleaning Machine, Mighty Pro X3 Carpet Cleaning Machine, WideTrack Carpet Cleaning Machine, Urine Eliminator, Spot & Stain Remover Originally established in Fresno, California, Rug Doctor relocated its corporate headquarters to Plano, Texas, a suburb just north of Dallas, in 1998. The compa The Rug Doctor Institute of Clean is dedicated to developing the most advanced deep-cleaning solutions so you can give your home a powerfully deep clean. No mat ny has grown from a regional west coast operation to an international manufacturer and marketer of the most convenient, compact and powerful hot water extraction machines and products available today.      Present day U.S. operations include a main manufacturing facility in Fenton, Missouri and more than 35 warehouse distribution points and service centers around the United States.      International operations include a product manufacturing facility in the United Kingdom, plus warehouse distribution in Canada, Puerto Rico, Australia and over 20 other countries.    Expanded distribution and sales of machines have allowed a growing number of vacuum cleaner sales and repair shops to offer Rug Doctor carpet cleaning machines for sale.  These shops also serve as repair centers for machines if needed.  Rug Doctor carpet cleaning rental machines and a full line of Rug Doctor carpet cleaning products can be found in over 33,000 grocery, drug, hardware and home center stores across the U.S. ter your need, we’ve developed and field-tested the solution for it. Because what happens to your carpet stays in your carpet... until you Rug Doctor it out."
1480008485407223,"Paul Mampilly
",Public Figure,"6,422 people like this 8,827 people follow this",Confirmed Page Owner: Banyan Hill Publishing,"Investing, Stock Market Analysis, Investment Tips & Strategies. Paul Mampilly is a former hedge fund manager and the editor of Profits Unlimited, Rapid Profit Trader, True Momentum, Extreme Fortunes and more trading strategies. Male Paul Mampilly is an American investor and former hedge fund manager. Paul has been featured on CNBC, Fox Business News and Bloomberg TV. He is the founder of th e popular investment newsletter Profits Unlimited, where he uses his skills, experience and knowledge as a former Wall Street insider to guide his more than 130,000 subscribers into stocks that are primed to shoot higher.    Born in India, Paul came to the United States as a young man and quickly joined the ranks on Wall Street. With over 25 years of experience in the investment world, he started his career in 1991 as an assistant portfolio manager at Bankers Trust. From there, he quickly rose to prominent positions managing multimillion dollar accounts for Deutsche Bank and ING. He has also managed money for the Royal Bank of Scotland, Sears and a private Swiss bank."
282328882639479,"Quibi
",Arts & Entertainment,"42,993 people like this 60,415 people follow this","Confirmed Page Owner: Quibi, LLC",Stories seen different.  New this week: #TheFugitiveQuibi + #SexNextDoor
,"Raphael Vargas
",,Raphael Vargas See Photos,,
137467406327387,"T-Series
",Record Label,"10,239,615 people like this 32,198,918 people follow this","Page created - June 14, 2011","T-Series is India's largest music company, dedicated to entertain all music lovers around the globe.Discover the latest Bollywood Music     -     -  Sh.Gulshan Kumar --The Great visionary  The promise of tomorrow start with today. For all the 30 years of its exlstence. T-Series has never believed otherwise. W ith the exemplary vision of group founder Mr.Gulshan Kumar, the group rose to phenomenal heights. Thinking ahead is the key to stay ahead. With a focused, well thought of strategy, coupled with an intuitive mind, Mr.Gulshan Kumar catapulted T-Series to multi-product, multi functional company and a force to be reckoned within the world music industry.    Mr. Bhushan Kumar - Chairman & Managing Director  Taking ahead the from where his father the Late Shri Gulshan Kumar handed the reins his established company, T-Series, BHUSHAN KUMAR went on to become the Chairman and Managing Director of this number one music label in India.    Bhushan Kumar took control over the music empire in 1997 and nurtured T-Series into a diversified group with US$ 120 million in core business of music and films. With his impeccable knack for music, drive and determination established T-Series to cross its own limits and walk the impossible roads to achieve growth. Today the music company has ventured into not only acquiring soundtracks but also in new  media  revenue streams like  mobile VAS,  on-line digital,  TV, IPTV,  FM  &  Satellite  Radio licensing and music publishing along with producing movies.    Inheriting the same farsightedness and ability to capitalize on small opportunities from his father, Bhushan Kumar keeps abreast of the latest innovations and technological advancements in the business enabling him to propel the company to greater heights. His operational transformations should evolve SUPER CASSETTES INDUSTRIES LTD into a US$ 200 Million Entertainment Super Power in the near future.    It  has  always  been  his  endeavor  to  reach  the  Global  consumer  and  offer them  the  best  of  original digital content from Bollywood  through  his  digital  initiative  which  is  the  first  from  the Indian  music  industry  and  is  working  diligently  with his core team to  establish  a  more  comprehensive distribution network.    His  name  denoting  success  and  spelling  entertainment,  Bhushan  Kumar  has made T-Series  a major force  to  reckon  with.  He  is  devoted  like  his  father  to  the  music  industry  and has  continued  his  efforts  to  complete  all  religious  projects  the  country  over  and abroad. He also promotes new talent and his commitment to infuse fresh blood into the industry  is well known.     A  teetotaler  and  a  regular  devotee  of  Maa  Vaishno  Devi  &  Lord  Shiva  got  married to  Divya  Khosla  in  February  2005  at  the  Maa  Vaishno  Devi  shrine  in  Katra who will be soon directing her first Hindi film.  He  has an  infamous  passion  for  Cars  and  lives  the  life  of  a  globe  trotter  for  his  business expansions."
502497176563381,"Your Superfoods
","Shopping & Retail,Health Food Store","191,709 people like this 193,511 people follow this","Confirmed Page Owner: YOUR SUPERFOODS, INC.","Try Your Superfood Mixes or create your own at YourSuperfoods.eu!   For every box sold 1 package of life-saving food is donated to malnourished children. Kristel & Michael Your Superfoods Mixes    Check out   for more information! Our mission is to make the world a healthier and happier place by providing natural, organic and ethical products. We at Your Superfoods understand that natural  organic nutrition is the foundation for health and happiness. Superfoods are the ultimate health boosters provided by nature and can help you feel more energized, healthy, beautiful and stronger.     Our sustainable and ethically sourced products contain only the best what nature has to offer, without any of the bad stuff. Your Superfoods is the healthy, easy and delicious way to benefit from all the different superfoods in your daily life.    We decided to redefine the term superfoods. To make the entire world benefit of our products, we donate 3 packets of live-saving food for every box of Your Superfoods sold to children suffering from severe acute malnutrition. This makes our superfoods even more super!    Join us to make the world a healthier and happier place!"
150024048380017,"Erie Construction
","Contractor,Construction Company","1,863 people like this 1,903 people follow this","Page created - December 21, 2010","Erie Construction offers top quality home remodeling products and services all across the United States. Erie Construction is the easy solution to improving your home's livability and resale value. Using energy efficient, Made in America quality products, no home remodeling project is too big. We have over 104,000 satisfied customers along with over 26,300 returning customers within first year of initial purchase."
341888615911885,"Foundr Media
",Media/News Company,"643,310 people like this 846,764 people follow this",Confirmed Page Owner: FOUNDR MEDIA PTY LTD,"We aim to foster a culture of authenticity, of drive, of limitless ambition and a thirst for freedom. And we want to assist a million entrepreneurs create a million businesses all around the world. Learn from some of the most successful living entrepreneurs on the planet so that you too can build and grow a successful business. 2013 Foundr Magazine is leading a movement that reveals exactly what it takes to become a success in business, entrepreneurship, and life.     We are the ultimate reso Foundr is a digital magazine (based on iOS & Android) for young entrepreneurs by young entrepreneurs. Launched by entrepreneur Nathan Chan in 2013 with nothing  urce for young entrepreneurs.     We track down people from around the world that are forging new paths, challenging the status quo and find out EXACTLY what it is that sets them apart.    This is the first magazine that delves deep into the world of the entrepreneur, and uncovers what it takes for young, aspiring business people to take their ideas to the next level. It deconstructs exactly HOW the world’s greatest businessmen and women achieved their goals, and translates it into ACTIONABLE, STRATEGIC and TACTICAL ADVICE.    Optimized specifically for iOS, we have exclusive audio and video interviews and content within the magazine, giving you fantastic insights into achieving success.    At Foundr, we want to show you exactly what it takes to build a successful business, become the ultimate entrepreneur, and of course, help you realize the kind of EPIC life that is possible when you become an entrepreneur.    Foundr Magazine is the perfect way to help you achieve incredible success, and build your dream life. So why not download our FREE issue or try our FREE TRIAL, and see where Foundr can take you?    *** Test out the FREE TRIAL *** but a laptop computer and a fistful of dollars, Foundr is dedicated to publishing stories meant to inspire readers, and challenge perceptions of business and the world at large."
2146166385608478,"Hear Clear
",Professional Service,18 people like this 18 people follow this,"Page created - November 5, 2016",
182073298490036,"Gaia
","Media,Community,Product/Service","3,094,935 people like this 3,350,114 people follow this","Page created - January 17, 2011","Create a transformational network that empowers a global conscious community. Gaia is a platform for awakening that connects members to people and ideas in order to fuel the daily pursuit of a conscious life.    Our mission is to create a transformational network that empowers a global conscious community. Stream online videos for your mind, body and soul, anytime, anywhere! 2011 Digital video streaming We are a connected world of seekers and searchers all aiming for purposeful transformation. We believe that if we have the courage and conviction to put in the  work necessary to pursue a conscious life, that we can create a change in the world felt by the larger collective.    But we can not do it on our own.    We rely on the strength of a community of others seeking their own personal awakening. We need the guidance of masters, the wisdom of mentors, and the empowerment of an authentic insider holding the vision and equally passionate about the journey. And for that,we are proud members of the Gaia community—our home for people and ideas that fuel our daily pursuit of our highest potential."
185000028201100,"Paycom Corporate Headquarters
","Software Company,Product/Service,Business Service","34,654 people like this 35,737 people follow this","Page created - January 31, 2011","Paycom digitally transforms businesses with comprehensive HR and payroll technology that empowers employees to manage their own data within a single software. 1998 Inc. Hire Power Award Winner, Eight year Inc. 500/5000 Honoree, Glassdoor Best Medium-Sized Companies to Work For, 12 year Honoree on Oklahoma City’s Metro 50 list, okcBiz Best Places to Work in Oklahoma. Unlike our competitors, Paycom is the only company that builds its products in-house.  Why is that important?  Every product works together seamlessly, because  Payroll Services, Time and Attendance, Employee Self-Service, HR Information Management, Talent Management, Background Checks, Advanced Scheduling, Benefit Admi we built it that way.  Many of our competitors buy existing products or partner with providers and then try to make it all work.  Our company was built to provide customers with user-friendly products that are always up-to-date and super easy to use.      With Paycom, an entire employee life cycle can be managed with its cloud-based solution from pre-employment and talent management to HR management and time and attendance all the way to payroll.     Paycom offers the only unique solution in the industry for CFO’s and HR users looking to streamline their processes, push administrative responsibilities down to managers and employees with self-service technology, while reducing personnel paperwork with online document management.     Check out the most advanced workforce technology today! nistration, Cobra Compliance, Tax Credit Services, Applicant Tracking, E-Verify, Document Management, Expense Management and On-Boarding/Off-Boarding"
106244251043808,"Reuse Plastics
",Community,"Send Message 1,113 people like this","Confirmed Page Owner: AMERICAN CHEMISTRY COUNCIL, INC.","From Single Use to Reuse is a collaborative effort of industry innovators, primarily America’s plastic makers, dedicated to ending plastic waste. We’ve set a goal of making 100% of plastic packaging used in the U.S. recyclable or reusable by 2030."
1194160007264767,"Artlist
",Company,"100,940 people like this 107,775 people follow this","Page created - December 9, 2015","An Inspiring Music Licensing Platform, Created By Filmmakers, For Filmmakers Music licensing for film and video"
,"Google Ads
",,,,
,"SamSmithWorldVEVO
",,English (US)  · ,,
1564806303773366,"נועה קירל - הערוץ הרשמי
",Musician/Band,"Send Message 7,265 people like this","Page created - March 15, 2015",
153994794690793,"belVita
",Food & Beverage Company,"Send Message 298,357 people like this","Confirmed Page Owner: Mondelez International, Inc.","The official Facebook home of belVita Breakfast Biscuits. A nutritious and delicious way to start your day. belVita Breakfast Biscuits come in five lightly sweet, crunchy flavors: Golden Oat, Blueberry, Apple Cinnamon, Cinnamon Brown Sugar and Chocolate. Since February 6, 2012, you can now find them in the cookie-cracker aisle at your local grocery store. belVita Breakfast Biscuits are a nutritious and delicious way to start your day.    -Rules of the Road For years, belVita Breakfast Biscuits have been helping people start their mornings right across the globe. And now, we’re bringing it to the States. belVita Br    This belVita Facebook page is a fun, family-friendly community where people can share their passion for the morning, and where we can interact with those who love belVita Breakfast Biscuits.    If you submit content to this fan page, you hereby agree to the following: (1) you voluntarily submit the content; (2) you give Mondelez Global LLC the unrestricted right to use, in any online capacity, including, without limitation, in Facebook posts, blogs, websites and other social networks, without compensation to you, your Facebook user name (or any other name associated with your content) and the content, ideas (including ideas about our products or advertising campaign), concepts, designs or creative elements submitted by you, in any manner that we choose; (3) the content is your own original work.    While we’re excited to hear from you, it’s important to note that postings to the belVita Facebook page are not representative of the opinions of belVita Breakfast or Mondelez Global LLC, nor do we confirm their accuracy.    As part of our commitment to you, we’ll do our best to ensure the postings on our page are in line with the belVita family-friendly philosophies. However, since we unfortunately can’t monitor every posting or conversation, Mondelez Global LLC expects that users will not post content that falls into the following categories and reserves the right to remove postings that are:    - Abusive, defamatory, or obscene  - Fraudulent, deceptive or misleading  - In violation of any intellectual property right of another  - In violation of any law or regulation  - Otherwise offensive  - Suggestive of new product innovations or advertising ideas    If you wish to no longer ""Like"" the official belVita Breakfast page from Mondelez Global LLC, please feel free to remove yourself by clicking the ""Unlike"" link located on the left-hand sidebar. eakfast.    belVita Breakfast Biscuits are delicious lightly sweet, crunchy biscuits baked with nutritious steady energy that lasts all morning long. Enjoy as part of a balanced breakfast with a serving of fruit and low fat dairy."
58226901193,"CarMax
",Cars,"438,863 people like this 446,153 people follow this","Confirmed Page Owner: CarMax Business Services, LLC","To drive integrity in the automotive industry by being honest & transparent in every interaction. CarMax is the nation’s largest retailer of used cars. If you need help, our Customer Relations team is available M-F 9a-8p EST at 1-800-519-1511. 1993 Thousands of new and used cars. CarMax, a FORTUNE 500 company and one of the FORTUNE “100 Best Companies to Work For” for 15 consecutive years, is the nation’s largest retailer of used cars.   Headquartered in Richmond, Va., CarMax currently operates more than 200 used car superstores across the U.S.     The CarMax Foundation's funding programs are designed to enrich the communities where our associates live and work.  The CarMax Foundation is a separate entity from and supported by CarMax, Inc.  Funds granted to The CarMax Foundation are made available through a percentage of CarMax, Inc.'s net income from the prior fiscal year.    Our Customer Relations team is available to help at 800-519-1511, M-F, 9 a.m. to 8 p.m., EST.     Welcome to CarMax's Facebook Page. We welcome comments and even criticisms. Try to keep the conversation relevant to the community and contribute to the dialogue.        All posts should conform to Facebook's Terms of Service. Be polite, even if you disagree. CarMax retains the right to remove content posted to this Facebook page for any reason deemed necessary to foster a healthy community. Personal attacks, offensive remarks, nudity, abusive, and foul language are not tolerated. Off-topic, out-of-context, spam, promotional, repetitive and solicitation postings will be removed from the page. Those not complying with these guidelines may potentially be blocked from page participation if necessary."
141566309497,"Armani beauty
",Cosmetics Store,"2,914,533 people like this 2,925,298 people follow this","Page created - August 12, 2009","Giorgio Armani translates his sense of fashion and his aesthetic vision into the world of fragrances, make-up and skincare. Discover all the new products and must-have ranges at  Giorgio Armani translates his sense of fashion and his aesthetic vision into the world of fragrances, make-up and skincare.    Elegance is key: beauty, simplicity  and quality are delivered through products made from the finest materials, designed to convey an understated and timeless sophistication.    Follow us also on Instagram @ArmaniBeauty     Subscribe to our YouTube channel:  "
247732222787053,"Our Place
",Kitchen/Cooking,English (US)  · ,,Welcome to Our Place. We make kitchen & cookware for your place. 🏠💌 2018
112764298741492,"Hefty Brands
",Household Supplies,"Send Message 293,976 people like this",Confirmed Page Owner: Reynolds Consumer Products,"Hefty® Waste Bags, Slider Bags and Tableware are all designed with YOU in mind. Hefty® products are here to help in your busy household  with the strength, dura bility and value you need.      All of our Hefty® Waste Bags are specifically designed to stand up to your toughest waste disposal tasks, whether you're cleaning up from dinner or raking leaves in your backyard.    Hefty® Slider Bags have a Stronger Seal than Ziploc® Bags*. With our new MaxLock™ track design, these bags are not only easy to open and close with one sliding motion, but they have an extra strong seal, giving you the security in knowing that your bag will stay sealed, even when SHAKEN, DROPPED, or STACKED.  *Ziploc® is a registered trademark of S.C. Johnson & Sons, Inc.    Hefty® offers a wide range of disposable tableware products from plates and bowls to cups and cutlery. Whether you are hosting a special event and need something with style, you need disposable tableware that is strong and durable, Hefty® has the right product for every occasion.    Community Guidelines:   We encourage you to comment and welcome your opinions, ideas, questions and contributions to discussions on our Page. However, by participating you agree to keep your comments respectful. We ask that you take personal responsibility for your comments and adhere to our Page guidelines below.     We will moderate and remove any comments that don’t respect the discussion or its participants. Specifically:     - We do not allow comments that are abusive, defamatory, obscene, off-topic or use profane language.   - We do not allow comments that include a personal attack on other commenters or intend to defame or defraud any person or organization.   - We do not allow comments that suggest or encourage illegal activity.  - We do not allow solicitations or advertisements.   - We will remove comments containing spam.   - Remember, this is a public channel, so please do not post any personal or secure information about yourself or others.    This site is governed by Facebook’s privacy policies and terms. All Users must comply with the Facebook Statements of Rights and Responsibilities in addition to our Page guidelines. If a User repeatedly engages in inappropriate activity, we reserve the right to block you from participating on the Page.    From time to time we may post links to external websites that we did not originate or control. The appearance of any external links posted by the Hefty® Facebook Page or by other Facebook Users does not constitute endorsement on behalf of the makers of Hefty® brand products.    User comments and posts do not necessarily represent our opinions or act as an endorsement on behalf of the makers of Hefty® brand products. We are not responsible for, and do not confirm the accuracy of, the comments, visuals, videos or any other types of material posted by Users of this Page.     The makers of Hefty® brand products strive to provide quality, trusted products you can rely on. We’re excited to have you join this community and look forward to your participation."
647187962116098,"Rob Booker Trading
",Video Creator,"18,040 people like this 20,282 people follow this","Page created - August 22, 2016","$ Get trade ideas, cool stuff for traders, free trading strategies, and a bag of kittens. (Ok, no kittens). Get trade ideas, cool stuff for traders, free trading strategies, and a bag of kittens. (Ok, no kittens)."
,"KEYTRUDA® (pembrolizumab) Injection 100 mg
",,English (US)  · ,,
,"Osphena
",,,,
698179880214568,"The Real Cost
",Community,"531,686 people like this 527,342 people follow this","Page created - January 10, 2014","You already know that tobacco is bad for you, but even experimenting can come with a cost.    House rules:  At some point in your life, someone probably told you not to use tobacco. Maybe it was your parents, your teacher, or a friend.     We’re not here to tell you wha t to do.     “The Real Cost” gives you what you need to know – real facts, so you can make your own decision.    This page is monitored Monday - Friday from 9am–9pm ET and at 9am and 4pm on weekends (excluding national holidays). We will respond to your questions, comments and concerns as quickly as possible.    For more information on the real cost of tobacco, visit       If you want to stop using tobacco, you can get free help without providing any of your personal information. Visit   or call: 1-800-QUIT-NOW (1-800-784-8669). You can also chat online with a counselor:  . They want to help you, and it’s totally free.    If you or someone you know is experiencing thoughts of self-harm or suicide, please seek immediate help. Call 1-800-273-TALK (8255) to reach the free 24-hour Suicide Prevention Lifeline, or dial 911.The Substance Abuse and Mental Health Services Administration, a part of the U.S. Department of Health and Human Services, runs the National Suicide Prevention Lifeline:   (Para obtener asistencia en español durante las 24 horas, llame al 1-888-628-9454.)    Please contact TheRealCost@fda.hhs.gov if you have any questions about The Real Cost campaign. Media requests made through Facebook will not be forwarded, or addressed, and will be deleted.    This campaign is brought to you by the FDA’s Center for Tobacco Products. To learn more about our mission to protect the nation’s health, please visit:  .    General Commenting Guidelines  Visitors who interact with The Real Cost campaign social media platforms agree to adhere to the Facebook terms and rules. All comments are reviewed and will be hidden or deleted if they contain offensive, hateful or obscene content. Defamatory posts are strictly prohibited. All user comments and content will be visible on the brand page unless they violate one of the following page guidelines:   •	Contain language that demonstrates racism, homophobia, sexism, or offends religions, creeds, nationalities or people  •	Contain sexually explicit content and pornographic references  •	Contain, suggest, endorse, or encourage illegal activity  •	Contain violent content  •	Contain instances of bullying  •	Contain pro-tobacco and pro-electronic cigarette sentiments  •	Contain soliciting and advertising   •	Contain personal information (email addresses, phone numbers, home addresses)  •	Contain spam   •	Contain endorsement of political parties, candidates, or groups  •	Infringe on copyrights    Users who do not follow the guidelines of our social media websites will be reported to the community managers of that platform. Users who break community rules will be subject to blocking or banning.     Visitors who “Like” this page or otherwise use or interact with the site agree to adhere to the Facebook Principles ( ) and to the Facebook Statement of Rights and Responsibilities ( ). We adhere to Facebook’s Data Use Policy, which is available here:  .    Linking & Disclaimer of Endorsements  The views expressed within posted comments do not necessarily reflect those of the FDA or the federal government. The appearance of external links on this site does not constitute endorsement, nor do we endorse the views, products and services they may offer. When you select a link to an outside site, you are leaving this page and are subject to the privacy and security policies of that site.    Copyright  By posting any content on any FDA Facebook page, individuals grant the FDA irrevocable rights to reproduce, distribute, publish and display such content and the right to edit or modify such content and use such content for any purpose.    Privacy  A link to Facebook’s privacy policy is available at  .  FDA does not gather personal information about you from this site. Please consider carefully what you choose to post about yourself. You participate at your own risk, taking personal responsibility for your comments. FDA will not share or sell any personal information obtained from users with any other organization or government agency except as required by law."
271142536338217,"Vagisil
",Health/Beauty,"Send Message 14,275 people like this","Page created - September 27, 2012","Vagisil is devoted to women’s well-being and confidence. We’ve been a global leader in intimate health for 40 years. 1974 Vagisil® is shameless about vaginal health™.    Our mission is to create a more open platform to talk about the vaginal health topics that many women say they are For 40 years, Vagisil has been the brand that women trust to solve the vaginal issues that affect them most. There’s so much to celebrate about being a woman. A US Product Line:    Dryness:  uncomfortable discussing. To help inform, educate, and reduce the shame that still exists around vaginal health issues. To change societal perception of those issues so women feel empowered to discuss their vaginal health and seek the solutions they need. Without apology. Without stigma. Without shame. bout having a vagina. But how can we take care of it if we can’t even talk about it? We believe women have the right to great vaginal health — without shame. That’s why Vagisil always has been and always will be… Shameless about vaginal health.     We want everyone to have a great experience on the Vagisil Facebook page, so we have a few house rules. We trust that Vagisil fans will respect fellow community members and follow Facebook's Statement of Rights and Responbilities, but we do reserve the right to remove postings and photos that:    • are libelous, profane, vulgar, defamatory, disparaging, hateful, harassing, threatening, or obscene,  • violate another’s copyright or intellectual property;  • contain content that divulges any user’s or other person’s personal information;  • disclose confidential information belonging to a third party;  • contain content or language that commercially advertises items, goods, content, and/or services;  • condone or promote illegal activity;  • are fraudulent, deceptive or misleading;  • are otherwise sexual or offensive graphically or in tone;  • contain spam or are intended to cause technical disruptions to this page;  • are off topic; or  • violate any local, state, federal, and/or international laws or regulations.    Anyone repeatedly posting material that falls into the above categories will be removed and banned from participating in this Fan Page.    Please also note that Vagisil and Combe Incorporated (the proprietor of the Vagisil brand) do not necessarily endorse opinions on this page not specifically posted by us. Nor are we responsible for the accuracy of the claims, information, advice or comments posted by fans and visitors of this page.  Vagisil® ProHydrate Internal Moisturizing Gel  Sensitive Plus Wash    Itch:  Anti-Itch Medicated Wipes 20 Count Pouch  Anti-Itch Medicated Wipes 12 Count Singles   Regular Strength + Prebiotic Anti-Itch Creme  Maximum Strength Medicated Anti-Itch Creme  Hydrocortisone Anti-Itch Creme for Sensitive Skin    Odor:  Scentsitive Scents™ White Jasmine Wash  Sensitive Plus Wash  pH Balance Wash  Odor Block® Wash  Deodorant Powder"
1281995168543484,"Bethesda Softworks
",Video Game,"914,086 people like this 914,844 people follow this",Confirmed Page Owner: Bethesda Softworks,The official page of Bethesda Australia and New Zealand.
1608168796120401,"Crossout
",Video Game,"43,262 people like this 45,592 people follow this","Page created - May 12, 2015","Join CROSSOUT, the post-apocalyptic MMO Action game! Craft your unique battle machines from dozens of parts and ride them directly into combat! Crossout – the post-apocalyptic MMO Action game. Craft unique battle machines from dozens of parts and destroy your enemies in explosive PvP online battles!      Key Features:    * Unique vehicles, crafted by the players using a wide range of available parts: from nimble buggies to heavily tracked off-road vehicles or combat platforms on antigrav fields.    * Complete freedom of creativity and thousands of possible combinations. Create vehicles of any shape using dozens of parts, wide variety of armour and weapons as well as support systems.    * Advanced damage model: destroy any part of an enemy machine and it will affect the vehicle's performance immediately.    * Huge arsenal of weapons. From chain saws, power-drills over machine guns to rocket launchers, flying drones and stealth generators.    * Your own workshop: create new, advanced parts and auction them at the in-game marketplace.    * Trading options between players: every piece that you have gethered in the battle can be sold to other players    * Choose your own battle strategy! The only thing matters is the Survival and Victory!"
1381837842046485,"KQ ENTERTAINMENT
",Record Label,"Send Message 33,878 people like this","Page created - August 28, 2013",▶ KQ Official Homepage:     ▶ KQ Official Twitter:     ▶ KQ Official Instagram:    ▶ KQ Official Youtube:   
1495934597380849,"FGTeeV
",Public Figure,"42,639 people like this 48,562 people follow this","Page created - January 7, 2016",We're a family of 6 who loves gaming and wants to share the fun!    
,"Jeselin Castillo
",,,,
140484206315357,"Groove Life
",Jewelry/Watches,"Send Message 236,290 people like this","Page created - November 29, 2015",We serve people through our gear and inspire action through our adventures. We attempt to reflect God by being excellent at both.
427227870674644,"Alan Walker
",Musician,"3,925,611 people like this 6,516,511 people follow this","Page created - October 8, 2012","Electronic Dance Music Electronic Pop Music Alan Walker Bergen, Norway Hans Zimmer - 'TIME' (Alan Walker Remix)   Male Management: post@mer.as B3RG3N, N0RW4Y mer.as K-391, Ahrix, Ason ID, LarsM, Dzeko & Torres, Jacoo, Curbi, Electro-Light, Steerner, Oliver Heldens, Hardwell, Axwell and many more. Norway:  ottar@nordiclive.com    Rest of World  Alanwalker@paradigmagency.com When I was a kid, I had a fascination for programming and graphic design. Music kind of just happened spontaneously a few years back. I found a track on Youtube  that I liked – it inspired me and it made me start exploring producing myself. Everything started online with people, or rather nicknames, from around the world helping each other out. Now music is a big part of my life."
371513460315257,"Toomics
",Fan Page,"380,276 people like this 407,738 people follow this","Page created - January 7, 2019",Full of amazing comics and webtoons just waiting to be read!
,"Praveen Wadalkar
",,Praveen Wadelkar See Photos,,
33922942754,"charitywater
","Charity Organization,Nonprofit Organization","Send Message 491,360 people like this","Page created - September 4, 2008","We're working every day to reinvent charity while bringing clean drinking water to the 785 million people living without. Join us. September 2006 charity: water is a non-profit bringing clean and safe drinking water to people in developing nations. Together we've funded more than 56,000 water projects in  charity: water wants to redefine charity. Here's how:    100% of public donations made at   directly fund clean water projects. All operating costs 29 developing countries. When complete, these projects will provide clean, safe drinking water for more than 11.4 million people.    Nearly 785 million people in our world don’t have access to clean drinking water. Unsafe water and lack of basic sanitation cause 80% of diseases and kill more people every year than all forms of violence, including war.    The good news: there are simple solutions, from deep drilled wells to water filtration systems. And with the help of 1,000,000+ donors and individual fundraisers, we're forming a strong force against the water crisis. Join us:   are covered by a group of private donors so every dollar donated by the public will help those in need.    We also prove every completed project using photos and GPS coordinates in Google Maps. See completed water projects and the communities they serve here:    "
